variable;libelle;codage
f_l4_D;L4 — flexion dorsale de cheville (Motricité et force motrice);"0 = 0 ; 1 = 1 ; 2 = 2 ; 3 = 3 ; 4 = 4 ; 5 = 5"
f_l5_D;L5 — extension de l'hallux (Motricité et force motrice);"0 = 0 ; 1 = 1 ; 2 = 2 ; 3 = 3 ; 4 = 4 ; 5 = 5"
f_s1_D;S1 — flexion plantaire (Motricité et force motrice);"0 = 0 ; 1 = 1 ; 2 = 2 ; 3 = 3 ; 4 = 4 ; 5 = 5"
f_l2_G;L2 — flexion de hanche (Motricité et force motrice);"0 = 0 ; 1 = 1 ; 2 = 2 ; 3 = 3 ; 4 = 4 ; 5 = 5"
f_l3_G;L3 — extension du genou (Motricité et force motrice);"0 = 0 ; 1 = 1 ; 2 = 2 ; 3 = 3 ; 4 = 4 ; 5 = 5"
f_l4_G;L4 — flexion dorsale de cheville (Motricité et force motrice);"0 = 0 ; 1 = 1 ; 2 = 2 ; 3 = 3 ; 4 = 4 ; 5 = 5"
f_l5_G;L5 — extension de l'hallux (Motricité et force motrice);"0 = 0 ; 1 = 1 ; 2 = 2 ; 3 = 3 ; 4 = 4 ; 5 = 5"
f_s1_G;S1 — flexion plantaire (Motricité et force motrice);"0 = 0 ; 1 = 1 ; 2 = 2 ; 3 = 3 ; 4 = 4 ; 5 = 5"
def_sph;Trouble sphinctérien ou anesthésie périnéale (Motricité et force motrice);"1 = OUI ; 0 = NON"
vac;Contraction anale volontaire (VAC) (Motricité et force motrice);"1 = OUI ; 0 = NON"
dap;Pression anale profonde perçue (DAP) (Motricité et force motrice);"1 = OUI ; 0 = NON"
mict;Miction depuis l'accident (Miction);"1 = OUI ; 0 = NON"
mict_type;Caractéristiques (Miction);"1 = Normale ; 2 = Avec effort ; 3 = Rétention"
mict_residu_pre;Résidu pré-mictionnel (mL) (Miction);texte libre (mL)
mict_residu_post;Résidu post-mictionnel (mL) (Miction);texte libre (mL)
vertic;Verticalisation possible (Coordination);"1 = OUI ; 0 = NON"
equil_yo;Équilibre statique conservé — yeux OUVERTS (Coordination);"1 = OUI ; 0 = NON"
equil_yf;Équilibre statique conservé — yeux FERMÉS (Coordination);"1 = OUI ; 0 = NON"
marche;Marche possible (Coordination);"1 = OUI ; 0 = NON"
marche_yo;Marche yeux OUVERTS (Coordination);"0 = Normale ; 1 = Anormale"
marche_yf;Marche yeux FERMÉS (Coordination);"0 = Normale ; 1 = Anormale"
devia_cote;Côté de la déviation (Coordination);"1 = D ; 2 = G"
talon_genou;Talon-genou réalisé correctement (Coordination);"1 = OUI ; 0 = NON"
talon_genou_cote;Côté déficitaire (Coordination);"1 = D ; 2 = G ; 3 = Bilat."
doigt_nez;Doigt-nez réalisé correctement (Coordination);"1 = OUI ; 0 = NON"
doigt_nez_cote;Côté déficitaire (Coordination);"1 = D ; 2 = G ; 3 = Bilat."
sens_examinee;Examen des sensibilités réalisé (Sensibilités);"1 = OUI ; 0 = NON"
cut_present;Lésions cutanées présentes (Lésions cutanées de désaturation);"1 = OUI ; 0 = NON"
cut_delai;Délai d'apparition après émersion (min) (Lésions cutanées de désaturation);texte libre (min)
cut_evol;Évolution sous oxygène (Lésions cutanées de désaturation);"1 = Régression ; 2 = Stable ; 3 = Extension"
cut_txt;Commentaire (Lésions cutanées de désaturation);texte libre
ac_vvp;Voie veineuse périphérique (Actes, biologie et examens complémentaires);"1 = OUI ; 0 = NON"
